N°;Désignation;Code Barre;Référence;Unité;Prix de Vente;Niveau d'Alerte;Stock Boutique;Stock Atelier;Stock Magasin1;Stock Magasin2;Stock Magasin3;Qté par Carton;Prix Achat Carton;Prix Achat Unitaire
852;PARFUM CAMELIA;6181100312003;;BOUTEILLE;1 000,00;2;0,00;0,00;0,00;0,00;0,00;0;0;800
853;PARFUM BOSS ORANGE;6291207008492;;BOUTEILLE;3 500,00;2;0,00;0,00;0,00;0,00;0,00;0;0;3000
854;PARFUM TOM FORD;6291207008560;;BOUTEILLE;3 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;3000
855;PARFUM MISTER PERFECT G;6182000104255;;BOUTEILLE;2 500,00;2;4,00;0,00;0,00;0,00;0,00;0;0;2000
856;CIRAGE KIWI NEUTRAL;6001298959951;;BOITE;750,00;2;7,00;0,00;0,00;0,00;0,00;0;0;500
857;CIRAGE KIWI BROWN;6001298488994;;BOITE;750,00;2;10,00;0,00;0,00;0,00;0,00;0;0;500
858;DEEDS BLANC;;;UNITE;500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;375
859;DEEDS ROUGE;8906124153290;;UNITE;500,00;2;4,00;0,00;0,00;0,00;0,00;0;0;375
860;DEEDS BLEU;8906124152583;;UNITE;500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;375
861;TIKTOK ORANGE;6034000590135;;UNITE;100,00;5;0,00;0,00;0,00;0,00;0,00;0;0;79
862;DEO MISTER PERFECT;6182000123652;;UNITE;1 250,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1000
863;BISCUITS CRACKERS;8410376014051;;BOITE;1 500,00;5;18,00;0,00;0,00;0,00;0,00;0;0;625
864;EBALLFLY;;;UNITE;250,00;2;6,00;0,00;0,00;0,00;0,00;0;0;166
865;BROSSE A CIRER BOIS;;;UNITE;500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;333
866;BROSSE A CIRER  BOIS COULEUR;;;UNITE;250,00;2;8,00;0,00;0,00;0,00;0,00;0;0;125
867;BROSSE A CIRER PLASTIC GROS;;;UNITE;500,00;2;10,00;0,00;0,00;0,00;0,00;0;0;375
868;BROSSE A LAVER EN BOIS;;;UNITE;500,00;2;6,00;0,00;0,00;0,00;0,00;0;0;250
869;BROSSE A LAVER PLASTIC;;;UNITE;600,00;2;3,00;0,00;0,00;0,00;0,00;0;0;375
870;DEO LA VIE EN ROSE;6130271003081;;UNITE;1 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1250
871;VIANDE SÉCHÉE;;;SACHET;400,00;2;21,00;0,00;0,00;0,00;0,00;0;0;500
872;GOMBO SEC EN POUDRE 250G;;;SACHET;1 500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;1250
873;GOMBO SEC EN POUDRE 500G;;;SACHET;2 500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;2250
874;GOMBO SEC EN POUDRE 1KG;;;SACHET;4 500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;4000
875;SUPER TCHONGON;;;SACHET;500,00;5;11,00;0,00;0,00;0,00;0,00;0;0;417
876;BROSSE A APPLIQUER CIRAGE;;;UNITE;250,00;2;2,00;0,00;0,00;0,00;0,00;0;0;166
877;FANTA ETOILE PQ;;;PAQUET;1 800,00;2;0,00;0,00;0,00;0,00;0,00;0;0;1600
878;FANTA MELO PQ;;;PAQUET;1 750,00;2;0,00;0,00;0,00;0,00;0,00;0;0;1500
879;DAFANI MANGUE GOYAVE 1L;9504000004125;;UNITE;1 100,00;5;-1,00;0,00;0,00;0,00;0,00;0;0;967
880;MALIA MANGO-ORANGE 0,5L;6186000504091;;UNITE;750,00;5;5,00;0,00;0,00;0,00;0,00;0;0;563
881;ENERGY VANDAM;0710497548151;;CANETTE;400,00;5;43,00;0,00;120,00;0,00;0,00;0;0;225
882;SPAGHETTI MAMAN 190G;6181100093209;;UNITE;250,00;10;40,00;0,00;0,00;0,00;0,00;0;0;131
883;SPAGHETTI MAMAN 200G PQ;;;CARTON;7 600,00;2;2,00;0,00;4,00;0,00;0,00;0;0;7250
884;MALIA MANGUE 0,5L;6186000504015;;UNITE;750,00;5;-2,00;0,00;0,00;0,00;0,00;0;0;563
885;PIPPO GRAPE;6033000520166;;UNITE;150,00;5;24,00;0,00;0,00;0,00;0,00;0;0;73
886;PIPPO ANANAS;6034000590579;;UNITE;150,00;5;-7,00;0,00;0,00;0,00;0,00;0;0;73
887;PIPPO ORANGE;6034000590555;;UNITE;150,00;5;10,00;0,00;0,00;0,00;0,00;0;0;73
888;PAIN DE SINGE NATUREL;;;SACHET;600,00;2;0,00;0,00;0,00;0,00;0,00;0;0;500
889;PAIN DE SINGE AU FRAISE;;;SACHET;600,00;2;0,00;0,00;0,00;0,00;0,00;0;0;500
890;PAIN DE SINGE;;;SACHET;600,00;2;0,00;0,00;0,00;0,00;0,00;0;0;500
891;TETE DE LOUP;;;UNITE;1 250,00;5;10,00;0,00;0,00;0,00;0,00;0;0;792
892;MIEL SOFOOD 1000G;;;BIDON;4 500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;3750
893;MIEL SOFOOD 500G;;;BIDON;2 250,00;2;3,00;0,00;0,00;0,00;0,00;0;0;2000
894;MIEL SOFOOD 330G;;;BIDON;1 250,00;2;5,00;0,00;0,00;0,00;0,00;0;0;1000
895;MIEL SOFOOD 250G;;;BIDON;1 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;800
896;MIEL SOFOOD 125G;;;POT;750,00;5;7,00;0,00;0,00;0,00;0,00;0;0;500
897;MIEL SOFOOD ENTIER 500G;;;POT;4 000,00;2;2,00;0,00;0,00;0,00;0,00;0;0;3500
898;MIEL SOFOOD ENTIER 300G;;;POT;3 500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;3000
899;HUILE D’ ARACHIDE 1L;;;BIDON;2 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;2000
900;HUILE D’ ARACHIDE 0,5L;;;BIDON;1 250,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1000
901;HUILE D’ ARACHIDE 0,33L;;;BIDON;850,00;2;3,00;0,00;0,00;0,00;0,00;0;0;700
902;HUILE D’ ARACHIDE 0,25L;;;BIDON;650,00;2;2,00;0,00;0,00;0,00;0,00;0;0;500
903;FARINE DE MAÏS 20KG;;;SAC;13 500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;12500
904;VIN CAPITOR INTENSE;3211200265084;;BOUTEILLE;8 500,00;2;6,00;0,00;0,00;0,00;0,00;0;0;6507
905;VIN CAPITOR RED;3211209284338;;BOUTEILLE;8 750,00;2;5,00;0,00;0,00;0,00;0,00;0;0;6732
906;BARON D’ ORCEL ROUGE;3211200033607;;BOUTEILLE;5 000,00;2;6,00;0,00;0,00;0,00;0,00;0;0;3197
907;ICE CUVÉE BLANCHE;3211200024834;;BOUTEILLE;11 000,00;2;6,00;0,00;0,00;0,00;0,00;0;0;9145
908;VIN GRENACHE;3211209117841;;BOUTEILLE;7 750,00;2;5,00;0,00;0,00;0,00;0,00;0;0;5722
909;CABERNET SAUVIGNON;3211201046439;;BOUTEILLE;8 000,00;2;2,00;0,00;0,00;0,00;0,00;0;0;6171
910;COTES DU RHONE;3211201046644;;BOUTEILLE;8 500,00;2;4,00;0,00;0,00;0,00;0,00;0;0;6507
911;MERLOT;3211201046460;;BOUTEILLE;8 000,00;2;4,00;0,00;0,00;0,00;0,00;0;0;6171
912;CASTEL SYRAH;3211201046491;;BOUTEILLE;7 500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;5722
913;CHARDONNARY;3211209194507;;BOUTEILLE;8 000,00;2;3,00;0,00;0,00;0,00;0,00;0;0;6090
914;ARACHIDES SALÉS GROS;;;UNITE;500,00;5;4,00;0,00;0,00;0,00;0,00;0;0;400
915;ARACHIDES SUCRÉS GROS;;;SACHET;500,00;5;-2,00;0,00;0,00;0,00;0,00;0;0;400
916;SESAMES SALÉS;;;SACHET;500,00;5;5,00;0,00;0,00;0,00;0,00;0;0;400
917;SESAMES NATURELS;;;SACHET;500,00;5;5,00;0,00;0,00;0,00;0,00;0;0;400
918;SESAMES SALÉS P;;;SACHET;300,00;5;0,00;0,00;0,00;0,00;0,00;0;0;200
919;SESAMES NATURELS P;;;SACHET;300,00;5;0,00;0,00;0,00;0,00;0,00;0;0;200
920;FARINE DE MAÏS CHIKA G POT;;;POT;10 000,00;5;2,00;0,00;0,00;0,00;0,00;0;0;9000
921;FARINE DE MAÏS CHIKA P POT;;;POT;5 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;4500
922;POUDRE DE PAIN DE SINGE;;;POT;2 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;2000
923;ZAMNET PRECUIT DE 500G;;;SACHET;2 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;1750
924;AKPI;;;POT;1 300,00;5;2,00;0,00;0,00;0,00;0,00;0;0;1100
925;POUDRE DE GIMGEMBRE G POT;;;POT;1 750,00;5;2,00;0,00;0,00;0,00;0,00;0;0;1500
926;BARON D’ ORCEL BLANC;3211200034116;;BOUTEILLE;5 000,00;2;6,00;0,00;0,00;0,00;0,00;0;0;3197
927;DEGUE PETIT MIL;;;SACHET;2 000,00;2;-1,00;0,00;0,00;0,00;0,00;0;0;1500
928;KRACKS BARBEQUE DE 45G;8887290523011;;BOITE;750,00;5;13,00;0,00;0,00;0,00;0,00;0;0;625
929;KRACKS PAPRIKA DE 45G;8887290526012;;BOITE;750,00;5;22,00;0,00;0,00;0,00;0,00;0;0;625
930;LAVARIA DRINK;841165138906;;UNITE;1 300,00;5;3,00;0,00;0,00;0,00;0,00;0;0;1000
931;CARLIER OLIVES VERTES DÉNOYAUTÉES DE 360G;5412535000168;;BOUTEILLE;1 500,00;5;13,00;0,00;0,00;0,00;0,00;0;0;1042
932;HUILE DE SOJA SIATOL 5L;6411139486964;;BIDON;7 500,00;2;4,00;0,00;0,00;0,00;0,00;0;0;6750
933;BRAVO RAISIN;9008700125154;;UNITE;1 750,00;5;5,00;0,00;24,00;0,00;0,00;0;0;1542
934;THÉ TAOUDENI;;;PAQUET;1 250,00;5;4,00;0,00;0,00;0,00;0,00;0;0;850
935;THÉ TAOUDENI DETAIL;;;UNITE;125,00;10;100,00;0,00;0,00;0,00;0,00;0;0;85
936;JUS ETOILE EN BIDON PQ;;;PAQUET;2 600,00;5;0,00;0,00;0,00;0,00;0,00;0;0;2250
937;YOUKI TONIC;3700029411111;;BIDON;500,00;5;21,00;0,00;48,00;0,00;0,00;0;0;417
938;INFUSION KINKELIBA BISSAP;;;PAQUET;1 350,00;5;6,00;0,00;0,00;0,00;0,00;0;0;1200
939;INFUSION BISSAP CHOCOLAT;;;PAQUET;1 650,00;5;6,00;0,00;0,00;0,00;0,00;0;0;1500
940;INFUSION BISSAP MENTHE;;;PAQUET;1 650,00;5;6,00;0,00;0,00;0,00;0,00;0;0;1500
941;INFUSION KINKELIBA GINGEMBRE;;;PAQUET;1 350,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1200
942;INFUSION BISSAP CANELLE GINGEMBRE;;;PAQUET;1 650,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1500
943;INFUSION BISSAP TAMARIN;;;PAQUET;1 650,00;5;6,00;0,00;0,00;0,00;0,00;0;0;1500
944;INFUSION BISSAP GINGEMBRE;;;PAQUET;1 650,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1500
945;INFUSION KINKELIBA NATURE;;;PAQUET;1 350,00;5;5,00;0,00;0,00;0,00;0,00;0;0;1200
946;INFUSION VERVEINE;;;PAQUET;1 350,00;5;5,00;0,00;0,00;0,00;0,00;0;0;1200
947;INFUSION KINKELIBA CITRON;;;PAQUET;1 350,00;5;5,00;0,00;0,00;0,00;0,00;0;0;1200
948;INFUSION ARTEMISIA;;;PAQUET;2 500,00;5;6,00;0,00;0,00;0,00;0,00;0;0;2200
949;INFUSION CITRONELLE GINGEMBRE;;;PAQUET;1 350,00;5;5,00;0,00;0,00;0,00;0,00;0;0;1200
950;INFUSION CITRONELLE NATURE;;;PAQUET;1 350,00;5;2,00;0,00;0,00;0,00;0,00;0;0;1200
951;INFUSION CRYSANTHELIUM;;;PAQUET;1 350,00;5;5,00;0,00;0,00;0,00;0,00;0;0;1200
952;INFUSION CITRONELLE CITRON;;;PAQUET;1 350,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1200
953;INFUSION BASILIC CITRONELLE MENTHE;;;PAQUET;1 350,00;5;5,00;0,00;0,00;0,00;0,00;0;0;1200
954;OMO FASSI 100G;6972812091597;;UNITE;100,00;10;71,00;0,00;0,00;0,00;0,00;0;0;73
955;ICE CUVÉE ROSE;3211200024919;;BOUTEILLE;11 000,00;2;6,00;0,00;0,00;0,00;0,00;0;0;9145
956;KRACKS CHEESE DE 160G;8887290524025;;BOITE;1 500,00;5;0,00;0,00;0,00;0,00;0,00;0;0;1332
957;MALIA MANGE-ORANGE 0,5L PQ;;;CARTON;7 000,00;5;1,00;0,00;0,00;0,00;0,00;0;0;6750
958;PATTE DENTIFRICHE SIGNALE DE 140G;8934839125424;;UNITE;800,00;5;12,00;0,00;0,00;0,00;0,00;0;0;667
959;LEVURE VANOISE ROSE;6191402801440;;STICK;150,00;5;20,00;0,00;0,00;0,00;0,00;0;0;138
960;GAPAL LA PAIX DE PETIT MIL;;;BIDON;600,00;2;-2,00;0,00;0,00;0,00;0,00;0;0;500
961;GAPAL LA PAIX DE SORGHO ROUGE;;;BIDON;600,00;2;2,00;0,00;0,00;0,00;0,00;0;0;500
962;DEGUE LA PAIX;;;BIDON;600,00;2;0,00;0,00;0,00;0,00;0,00;0;0;500
963;DAFANI ORANGE-MANGUE 1L;9504000004057;;UNITE;1 100,00;5;3,00;0,00;0,00;0,00;0,00;0;0;958
964;RIZ ROYAL SALAMI DE 25KG;;;SAC;17 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;16750
965;CHIFFON DE 100F;;;UNITE;100,00;5;62,00;0,00;0,00;0,00;0,00;0;0;72
966;GATEAU BOULE DE NEIGE 250;;;SACHET;250,00;5;19,00;0,00;0,00;0,00;0,00;0;0;200
967;PATTE DE TOMATE GILDA DE 400G;8008414000076;;BOITE;800,00;10;16,00;0,00;0,00;0,00;0,00;0;0;708
968;STOP MOUSTIC;6181100380430;;BIDON;750,00;10;28,00;0,00;0,00;0,00;0,00;0;0;558
969;MOUTARDE OLARA DE 1KG;3760233510086;;BOUTEILLE;2 500,00;5;4,00;0,00;0,00;0,00;0,00;0;0;2167
970;CLOSE-UP ROUGE 130G;6151100133595;;UNITE;800,00;5;29,00;0,00;0,00;0,00;0,00;0;0;650
971;BONNET ROUGE EN POUDRE 100F;6186000208289;;STICK;100,00;10;167,00;0,00;0,00;0,00;0,00;0;0;90
972;ROYAL SALAMI BASMATI RICE;;;SAC;5 500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;4800
973;CUILLERE 12;;;DOUZAINE;1 250,00;5;2,00;0,00;0,00;0,00;0,00;0;0;750
974;FOURCHETTES 12;;;DOUZAINE;1 500,00;5;3,00;0,00;0,00;0,00;0,00;0;0;750
975;CUILLERE ORIGINALE;;;DOUZAINE;1 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;1000
976;FOURCHETTE ORIGINALE;;;DOUZAINE;2 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;1000
977;LOUCHE;;;UNITE;500,00;5;3,00;0,00;0,00;0,00;0,00;0;0;250
978;MINI POT DE POUBELLE;;;UNITE;3 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;2000
979;GATEAU BOULE DE NEIGE 500;;;SACHET;500,00;5;8,00;0,00;0,00;0,00;0,00;0;0;400
980;CHATEAUX DE FRANCE SANGRIA;6186000087990;;UNITE;400,00;5;16,00;0,00;96,00;0,00;0,00;0;0;292
981;SANGRIA FORTE 18;6186000087075;;UNITE;400,00;5;36,00;0,00;192,00;0,00;0,00;0;0;344
982;COMBAT INSECTICIDE 300ML;6948147784283;;BOUTEILLE;1 000,00;5;4,00;0,00;0,00;0,00;0,00;0;0;771
983;JP CHENET ROUGE;3263286301323;;BOUTEILLE;4 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;2833
984;JP CHENET ICE;3500610085338;;BOUTEILLE;4 000,00;5;1,00;0,00;0,00;0,00;0,00;0;0;3417
985;RED LABEL JOHNNIE;5000267013602;;BOUTEILLE;10 000,00;5;0,00;0,00;0,00;0,00;0,00;0;0;7500
986;WHISKY HONEY;8902146014717;;BOUTEILLE;4 500,00;5;3,00;0,00;0,00;0,00;0,00;0;0;3125
987;WHISKY JB;5010103800457;;BOUTEILLE;10 000,00;5;2,00;0,00;0,00;0,00;0,00;0;0;7500
988;X-FORT;6034000590685;;BIDON;250,00;5;23,00;0,00;208,00;0,00;0,00;0;0;141
989;WHISKY 8 PM;8902147010916;;BOUTEILLE;4 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;3125
990;BARON ROMERO;8410261701202;;BOUTEILLE;2 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;1667
991;DOUMAINE DU MOULIN;8410702011884;;BOUTEILLE;3 000,00;5;1,00;0,00;0,00;0,00;0,00;0;0;1750
992;FOUR SPECIAL CHOCOLATE;6033000512130;;BOUTEILLE;2 500,00;5;1,00;0,00;0,00;0,00;0,00;0;0;1833
993;FOUR SPECIAL;6034000345070;;BOUTEILLE;2 500,00;5;0,00;0,00;0,00;0,00;0,00;0;0;1833
994;BARON DE SENAC;8410775555018;;BOUTEILLE;2 500,00;5;1,00;0,00;0,00;0,00;0,00;0;0;1833
995;BARON DE VALLS;8410310095191;;BOUTEILLE;2 500,00;5;6,00;0,00;0,00;0,00;0,00;0;0;1833
996;MUSCADOR ROSÉ;3438931000597;;BOUTEILLE;3 000,00;5;4,00;0,00;0,00;0,00;0,00;0;0;2667
997;MANGUE SÉCHÉE 500;;;SACHET;500,00;10;0,00;0,00;0,00;0,00;0,00;0;0;417
998;SUPER COCO;;;SACHET;500,00;10;0,00;0,00;0,00;0,00;0,00;0;0;417
999;CAFÉ SAMI DE 1KG;;;SACHET;4 500,00;10;4,00;0,00;0,00;0,00;0,00;0;0;3850
1000;FANTA ORANGE VIA PQ;;;PAQUET;1 800,00;10;0,00;0,00;0,00;0,00;0,00;0;0;1600
1001;VERRE JETABLE POUR CAFÉ;7290013622105;;PAQUET;650,00;10;4,00;0,00;0,00;0,00;0,00;0;0;513
1002;MACÉDOINE ANNA;8009673000845;;BOITE;800,00;5;19,00;0,00;0,00;0,00;0,00;0;0;521
1003;SANTEX BLANC GROS;8998866809832;;UNITE;500,00;5;37,00;0,00;48,00;0,00;0,00;0;0;365
1004;SANTEX BLANC PETIT;8998866809818;;UNITE;300,00;5;71,00;0,00;72,00;0,00;0,00;0;0;194
1005;MOUSTICO SOLDAT;6920613700262;;BOITE;800,00;10;35,00;0,00;0,00;0,00;0,00;0;0;550
1006;MON SAVON AU LAIT 4 PIECES;3181730272589;;PAQUET;2 300,00;5;9,00;0,00;0,00;0,00;0,00;0;0;2167
1007;RIZ MUM S;;;SAC;11 500,00;5;1,00;0,00;0,00;0,00;0,00;0;0;11000
1008;HUILE OLEA 5L;8431101994363;;BIDON;8 000,00;10;3,00;0,00;0,00;0,00;0,00;0;0;6750
1009;CRIQUET DÉLICIEUX EN SACHET;;;SACHET;500,00;5;12,00;0,00;0,00;0,00;0,00;0;0;400
1010;BOBO CHITOUMOU;;;SACHET;500,00;5;9,00;0,00;0,00;0,00;0,00;0;0;400
1011;CRIQUET DÉLICIEUX EN POT;;;POT;600,00;5;5,00;0,00;0,00;0,00;0,00;0;0;500
1012;SPAGHETTI ESTELLA DE 200G;8690828621284;;UNITE;250,00;5;38,00;0,00;0,00;0,00;0,00;0;0;169
1013;NESCAFÉ CLASSIC DE 260G;6181002001906;;SACHET;5 400,00;5;13,00;0,00;0,00;0,00;0,00;0;0;5042
1014;SPAGHETTI ESTELLA PQ;;;CARTON;7 250,00;5;0,00;0,00;0,00;0,00;0,00;0;0;6750
1015;NIDO DE 2500G;6033000681089;;BOITE;17 500,00;5;0,00;0,00;0,00;0,00;0,00;0;0;17167
1016;BONBON SUPER GNAMAKOU;9501101135482;;PAQUET;800,00;5;6,00;0,00;0,00;0,00;0,00;0;0;725
1017;BONBON SUPER GNAMAKOU DETAIL;;;PAIRE;25,00;10;344,00;0,00;0,00;0,00;0,00;0;0;15
1018;GAPAL;;;BIDON;600,00;5;0,00;0,00;0,00;0,00;0,00;0;0;500
1019;DEGUE EN BIDON DE 0,5L;;;BIDON;600,00;5;-6,00;0,00;0,00;0,00;0,00;0;0;500
1020;CHAYA MOUTARDE DE 370G;4796000936680;;BOUTEILLE;800,00;5;2,00;0,00;0,00;0,00;0,00;0;0;583
1021;JADIDA DE 250G;6194000802307;;POT;1 000,00;5;12,00;0,00;0,00;0,00;0,00;0;0;891
1022;MAGGI JUMBO POULET;8410300344384;;PAQUET;1 250,00;5;14,00;0,00;0,00;0,00;0,00;0;0;1083
1023;NIDO DE 800G;8445291283183;;BOITE;6 750,00;5;0,00;0,00;0,00;0,00;0,00;0;0;6063
1024;DAFANI MANGUE ANANAS PASSION FRUIT 1L;9504000004064;;UNITE;1 100,00;5;1,00;0,00;0,00;0,00;0,00;0;0;942
1025;EAU IDEALE SACHET DE 25F DETAIL;;;UNITE;25,00;5;9,00;0,00;0,00;0,00;0,00;0;0;13
1026;EAU BABALI SACHET DETAIL;;;UNITE;50,00;5;160,00;0,00;0,00;0,00;0,00;0;0;33
1027;BONBONS MENTOS;83156007;;STICK;250,00;5;67,00;0,00;0,00;0,00;0,00;0;0;188
1028;CHEWING-GUM MENTOS;6154000043902;;STICK;350,00;5;10,00;0,00;0,00;0,00;0,00;0;0;271
1029;ICE MENTOS CHEWING-GUM;6154000043025;;STICK;350,00;5;16,00;0,00;0,00;0,00;0,00;0;0;271
1030;CHEWING-GUM MENTOS SWEET MINT;6154000043674;;STICK;350,00;5;17,00;0,00;0,00;0,00;0,00;0;0;271
1031;GATEAU PURE DELIGHT JAUNE DETAIL;6033000522535;;STICK;100,00;5;16,00;0,00;0,00;0,00;0,00;0;0;83
1032;DEGUE 250;;;UNITE;250,00;5;0,00;0,00;0,00;0,00;0,00;0;0;200
1033;IRA COCKTAIL;3760120250019;;CANETTE;500,00;5;29,00;0,00;0,00;0,00;0,00;0;0;365
1034;BOITE LUNCH,BOUTEILLE D EAU AVEC COUVERTS;6294016426921;;UNITE;5 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;3920
1035;JUS DE TAMARIN;;;BOUTEILLE;500,00;5;21,00;0,00;0,00;0,00;0,00;0;0;292
1036;JUS DE TÉODO AU GENGEMBRE;;;BOUTEILLE;500,00;5;23,00;0,00;0,00;0,00;0,00;0;0;292
1037;JUS DE MANGUE;;;BOUTEILLE;500,00;5;22,00;0,00;0,00;0,00;0,00;0;0;292
1038;JUS DE TÉODO;;;BOUTEILLE;500,00;5;20,00;0,00;0,00;0,00;0,00;0;0;292
1039;VERRE A CAFÉ BASIC 2×3;3568350110215;;PAQUET;2 500,00;5;1,00;0,00;0,00;0,00;0,00;0;0;1600
1040;PRESSE-POURNE NYLON;6294016435299;;UNITE;1 800,00;5;3,00;0,00;0,00;0,00;0,00;0;0;1300
1041;BOUTEILLE D HUILE A MESURER EN VERRE;6294016435350;;UNITE;2 500,00;5;3,00;0,00;0,00;0,00;0,00;0;0;1767
1042;ECUMOIRE ROYAL FORD;6294009935621;;UNITE;3 500,00;5;4,00;0,00;0,00;0,00;0,00;0;0;2046
1043;FOUET A ŒUFS EN NYLON;6294016435305;;UNITE;2 000,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1500
1044;CUILLERE OVALE A BASCULER;6294016431017;;UNITE;1 500,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1050
1045;LOUCHE À SOUPE EN NYLON;6294016435282;;UNITE;2 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;1500
1046;COUTEAU UTILITAIRE MANCHE BOIS;6294016410166;;UNITE;2 500,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1890
1047;FOURCHETTE DE TABLE ROYAL FORD;6294020008038;;TRIPLE;2 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;1505
1048;CUILLÈRE À GLACE ROYAL FORD;6294020022386;;PAIRE;2 500,00;5;3,00;0,00;0,00;0,00;0,00;0;0;1600
1049;CUILLÈRE À CAFÉ ROYAL FORD;6294020022331;;PAIRE;1 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;975
1050;TOURNEUR À BASSIN;6294016430966;;UNITE;1 800,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1260
1051;CUILLÈRE DE SERVICE;6294016430836;;UNITE;1 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;1050
1052;LOUCHE À BADIGEONNER EN ACIER INOXYDABLE;6294016430904;;UNITE;2 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;1560
1053;BOITE À LUNCH AVEC BOUTEILLE D EAU;6294009929347;;UNITE;4 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;2600
1054;POELE ANTIADHÉSIVE 30CM 1×24;6294016434674;;UNITE;9 000,00;5;2,00;0,00;0,00;0,00;0,00;0;0;7000
1055;POELE SMART GRANITE 24CM;6294016413921;;UNITE;11 000,00;5;2,00;0,00;0,00;0,00;0,00;0;0;8400
1056;VERRE À EAU ENSEMBLE DE 6 PCS;6294009928050;;PAQUET;2 800,00;5;3,00;0,00;0,00;0,00;0,00;0;0;2406
1057;VERRE PYRAMIDE ENSEMBLE DE 4 PCS;3568350111373;;PAQUET;3 000,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1878
1058;ASSIETTE PLATE;026102501733;;UNITE;3 500,00;5;6,00;0,00;0,00;0,00;0,00;0;0;2755
1059;ASSIETTE PROFONDE;6294016424156;;UNITE;2 000,00;5;4,00;0,00;0,00;0,00;0,00;0;0;1540
1060;ASSIETTE BÉBÉ H/F;6294016435374;;UNITE;2 700,00;5;3,00;0,00;0,00;0,00;0,00;0;0;2100
1061;ASSIETTE BÉBÉ HAPPY BEAR ROSE;6294016435398;;UNITE;1 800,00;5;2,00;0,00;0,00;0,00;0,00;0;0;1260
1062;ASSIETTE BÉBÉ HAPPY BEAR BLEUE;6294016435381;;UNITE;2 500,00;5;3,00;0,00;0,00;0,00;0,00;0;0;1750
1063;POELE ANTIADHÉSIVE 20CM 1×24;6294016434629;;UNITE;5 500,00;5;1,00;0,00;0,00;0,00;0,00;0;0;3800
1064;QUADRO BROC REFRI 0,5L;0026102752012;;UNITE;4 000,00;5;3,00;0,00;0,00;0,00;0,00;0;0;2765
1065;QUADRO BROC REFRI 1,1L;0026102703618;;UNITE;5 500,00;5;1,00;0,00;0,00;0,00;0,00;0;0;3444
1066;ASSIETTE OVALE;6294016421667;;UNITE;2 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;2100
1067;VERRE À PIED ARCOROC 6×27CL;0883314295559;;CARTON;16 000,00;5;1,00;0,00;0,00;0,00;0,00;0;0;10800
1068;VERRE À PIED ARCOROC 6×30CL;0883314795417;;CARTON;15 000,00;5;1,00;0,00;0,00;0,00;0,00;0;0;9900
1069;BOUILLOIRE SIFLANTE 3L;6294016410227;;UNITE;20 000,00;5;1,00;0,00;0,00;0,00;0,00;0;0;13200
1070;VODKA ABSOLUT PEARS;7312040151004;;BOUTEILLE;10 000,00;5;6,00;0,00;0,00;0,00;0,00;0;0;5000
1071;VODKA ABSOLUT;7312040017034;;BOUTEILLE;13 500,00;5;6,00;0,00;0,00;0,00;0,00;0;0;8975
