N°;Désignation;Code Barre;Référence;Unité;Prix de Vente;Niveau d'Alerte;Stock Boutique;Stock Atelier;Stock Magasin1;Stock Magasin2;Stock Magasin3;Qté par Carton;Prix Achat Carton;Prix Achat Unitaire
697;HELLO BANANA FLAVOR PQ;;;PAQUET;500,00;5;4,00;0,00;0,00;0,00;0,00;0;0;469
698;HELLO CHOCOLATE;8904286203730;;UNITE;100,00;5;7,00;0,00;0,00;0,00;0,00;0;0;78
699;HELLO CHOCOLATE PQ;;;PAQUET;500,00;5;-1,00;0,00;0,00;0,00;0,00;0;0;469
700;BONBON POPS;;;PAQUET;1 000,00;5;-1,00;0,00;0,00;0,00;0,00;0;0;875
701;BONBON POPS D;;;UNITE;50,00;5;210,00;0,00;0,00;0,00;0,00;0;0;18
702;FREEGELLS STRONG PQ;7891151039789;;PAQUET;1 500,00;5;6,00;0,00;0,00;0,00;0,00;0;0;889
703;FREEGELLS STRONG D;7891151039772;;STICK;150,00;5;42,00;0,00;0,00;0,00;0,00;0;0;74
704;FREEGELLS CITRUS;7891151039680;;PAQUET;1 500,00;5;6,00;0,00;0,00;0,00;0,00;0;0;889
705;FREEGELLS CITRUS D;7891151039673;;STICK;150,00;5;37,00;0,00;0,00;0,00;0,00;0;0;74
706;FREEGELLLS MENTHOL PQ;7891151039802;;PAQUET;1 500,00;5;6,00;0,00;0,00;0,00;0,00;0;0;889
707;FREEGELLS MENTHOL D;7891151039796;;UNITE;150,00;5;44,00;0,00;0,00;0,00;0,00;0;0;74
708;NESCAFÉ STICK;6181002002095;;STICK;50,00;10;63,00;0,00;0,00;0,00;0,00;0;0;43
709;GATEAU PATISSERIE 100;;;UNITE;100,00;5;11,00;0,00;0,00;0,00;0,00;0;0;83
710;GATEAU PATISSERIE 200;;;UNITE;200,00;5;18,00;0,00;0,00;0,00;0,00;0;0;167
711;GATEAU PATISSERIE 50;;;UNITE;50,00;5;5,00;0,00;0,00;0,00;0,00;0;0;42
712;LAIT COCO PULP;6181100530315;;BIDON;1 500,00;5;2,00;0,00;0,00;0,00;0,00;0;0;1300
